1:1	Yaw Teyofil, téere bu jëkk, ba ma bindoon, ëmb na lépp li Yeesu tàmbali woon a jëf ak a jàngale,
1:2	ba ci bés, ba ko Yàlla yéege ci asamaan. Lu ko jiitu joxoon na ay ndigal, jaare ci Xel mu Sell mi, jëm ci ndaw ya mu tànnoon.
1:3	Gannaaw ay coonoom, ñëw na ci ñoom, di leen won ay firnde yu bare te wér ne mu ngi dund; mu feeñu leen diirub ñeent-fukki fan, di diisoo ak ñoom ci lu jëm ci nguuru Yàlla.
1:4	Am bés muy lekk ak ñoom, mu sant leen ne: «Buleen sore Yerusalem, waaye ngeen xaar li Baay bi dige woon te ma waxoon leen ko.
1:5	Ndaxte Yaxya daa na sóob nit ñi ci ndox, waaye yéen dees na leen sóob ci Xel mu Sell mi fi ak ay fan yu néew.»
1:6	Bi ñu dajaloo ak moom nag, ñu laaj ko: «Boroom bi, ndax ci jamono jii ngay yékkatiwaat nguuru Israyil?»
1:7	Mu tontu leen: «Ngeen xam jamono yi ak saa, yi Baay bi dogal ci sañ-sañam, loolu mayuñu leen ko.
1:8	Waaye bu Xel mu Sell mi ñëwee ci yéen, dingeen jot kàttan te nekk samay seede ci dëkku Yerusalem, ca diiwaani Yude ak Samari yépp ak ba fa àddina yem.»
1:9	Bi mu waxee loolu, te ñu di ko xool, Yàlla yéege na ko, te aw niir jël ko, làq ko seeni bët.
1:10	Bi muy dem nag, te ñu ne jàkk asamaan, ñaar ñu sol yu weex daldi ne seef, taxaw ci seen wet.
1:11	Ñu ne leen: «Yéen waa Galile, lu tax ngeen taxaw, di xool ci asamaan? Yeesu male ñu jële ci seen biir, yéege ko asamaan, dina dellusi ni ngeen ko gise, muy dem asamaan.»
1:12	Bi loolu amee ñu jóge ca tund, woowu ñuy wax tundu Oliw ya, te mu dend ak Yerusalem lu tollu ak kilomet, ñu daldi dellu Yerusalem.
1:13	Bi ñu dikkee, ñu yéeg ca néeg, ba sut ca taax ma, fa ñuy dal. Ñoo doon Piyeer ak Yowaana, Saag ak Andare, Filib ak Tomaa, Bartelemi ak Macë, Saag doomu Alfe, ak Simoŋ mi bokkoon ci mbooloo mi ñuy wax Ñi farlu ci moom seen réew; ak Yudaa doomu Saag.
1:14	Ñoom ñépp ñoo bokk menn xel, di wéy ci ñaan ci Yàlla, ànd ak jigéen ñi ak Maryaama, ndeyu Yeesu, ak rakki Yeesu yu góor.
1:15	Ca bés yooya nag Piyeer taxaw ca digg bokk ya, di mbooloo mu tollu ni téeméer ak ñaar-fukk.
1:16	Mu ne leen: «Bokk yi, li Xel mu Sell mi waxoon ci Mbind mi jaarale ko ci gémmiñu Daawuda, fàww mu am. Waxoon na ci mbirum Yudaa, mi wommat ñi jàpp Yeesu
1:17	te mu bokkoon ci nun, ba am cér ci liggéey bi.»
1:18	--Pey gi Yudaa jotoon ci ñaawteefam, mu jënd ci tool, daanu fa, ba fàcc, ay buttitam tuuru.
1:19	Loolu siiwoon na ci waa Yerusalem, moo tax ci seen làkk ñuy tudde tool ba Akeldama, maanaam «Toolu deret.» —
1:20	Piyeer teg ca ne: «Ndaxte lii lañu bind ci téereb Sabóor:“Na këram gental,bu fa kenn dëkk.” Te it:“Na keneen bey sasam.”
1:21	Kon ñeel na nu, nu tànn kenn ci ñi bokk ak nun, diir bi Yeesu doon dem ak a dikk ci sunu biir,
1:22	li dale ci bi ko Yaxya sóobee ci ndox, ba bés ba ko Yàlla jële ci sunu biir, yéege ko. Kooku war na ànd ak nun, di seedeel ndekkitel Yeesu.»
