1:1	Man Pool, ndawul Kirist Yeesu ci coobareg Yàlla, man ak Sosten sunu mbokk,
1:2	noo leen di bind, yéen mbooloom Yàlla, mi dëkk Korent. Nu ngi leen di nuyu, yéen ñi Yàlla sédde boppam jaare ci Kirist Yeesu, yéen ñi Yàlla woo, ngeen sell, boole leen ak ñi nekk ci àddina sépp tey tudd turu sunu Boroom Yeesu Kirist, miy seen Boroom, di sunu bos.
1:3	Na leen Yàlla sunu Baay ak Yeesu Kirist Boroom bi may yiw ak jàmm.
1:4	Duma jóg ci di sant Yàlla sama Boroom ci seen mbir ndax yiw, wi mu leen may ci seen bokk ci Kirist Yeesu.
1:5	Ndaxte ci yiwi Yàlla yépp ngeen woomle ci Kirist, muy ci wax, muy ci xam-xam.
1:6	Ndaxte li nu doon seedeel Kirist, Yàlla dëggal na ko ci yéen.
1:7	Noonu nag ñàkkuleen genn may léegi bi ngeen di séentu waxtu, wi sunu Boroom Yeesu Kirist di feeñ ci biir ndamam.
1:8	Kirist dina leen dooleel ba ca muj ga, ngir ngeen bañ a am wenn ŋàññ bés bu sunu Boroom Yeesu Kirist dellusee.
1:9	Yàlla kuy sàmm kóllëre la, moom mi leen woo, ngir ngeen bokk ak Doomam Yeesu Kirist, sunu Boroom.
1:10	Waaye bokk yi, maa ngi leen di dénk ci turu sunu Boroom Yeesu Kirist, ngeen juboo te bañ a féewaloo ci seen biir. Waaye nangeen ànd te booloo, bokk xel, bokk xalaat.
1:11	Ndaxte bokk yi, waa kër Kelowe xamal nañu ma ne, dangeen di xuloo.
1:12	Maa ngi ñëw ca wax ja: kenn ku nekk ci yéena ngi naan: «Man ci Pool laa bokk!» «Man ci Apolos!» «Man ci Sefas!» «Man ci Kirist!»
1:13	Ndax Kirist dafa xaajoo? Ndax Pool lañu daajoon ca bant ba, mu dee ngir yéen? Ndax sóob nañu leen ci ndox, ngir wone ne bokk ngeen ci Pool?
1:14	Maa ngi sant Yàlla ci li ma sóobul kenn ci yéen, ku dul Kirispus ak Gayus,
1:15	ngir kenn bañ a wax ne, ci sama tur lañu ko sóob.
1:16	Aaŋkay! Sóob naa it ci ndox waa kër Estefanas. Waaye ci sama pàttaliku sóobuma keneen.
1:17	Ndaxte Kirist yebalu ma ngir may sóobe ci ndox, waaye da maa yebal, ngir may yégle xebaar bu baax bi, te ma bañ koo def ak waxi xam-xamu nit, ngir bañ a ñàkkal faayda deewu Kirist ca bant ba.
1:18	Ndaxte yégleb deewu Kirist ca bant ba, ag ndof la ci ñiy sànku. Waaye ci nun ñi aw ci yoonu mucc gi, dooley Yàlla la.
1:19	Ndaxte Mbind mi nee na:«Dinaa folli xam-xamu boroom xam-xam yi,lem xalaati ñi am xel.»
1:20	Ana boroom xam-xam bi? Ana kaaŋ mi? Ana boroom làmmiñ wu neex, wi ci àddina sii? Xanaa Yàlla wonewul ne, xam-xamu àddina si ag ndof la?
1:21	Gannaaw àddina si ci xam-xamam demul ba xam Yàlla --te Yàllaa dogal loolu ci xam-xamam — soob na Yàlla mu musal ñi gëm, jaar ci yégleb xebaaru Kirist, fekk ag ndof la ci bëti nit.
