1:1	Man Pool, ndawul Kirist Yeesu ci coobareg Yàlla, man ak Timote sunu mbokk,
1:2	noo leen di bind, yéen gaayi Yàlla yu sell, yi dëkk Kolos te di ay bokk ci gëm Kirist. Na leen Yàlla sunu Baay may yiw ak jàmm.
1:3	Dunu noppee sant Yàlla, Baayu sunu Boroom Yeesu Kirist, saa su nu leen di ñaanal,
1:4	ndaxte yég nanu seen ngëm ci Kirist Yeesu ak seen mbëggeel ci gaayi Yàlla yépp.
1:5	Ngëm googu ak mbëggeel googu ñu ngi sosoo ci yaakaaru ëllëg, jiy cér bi leen Yàlla dencal ca asamaan. Mas ngeen a dégg yaakaar jooju ci kàddug dëgg gi, di xebaar bu baax bi.
1:6	Ni xebaar bu baax bi wàcce ci yéen, noonu lay wàcce ci àddina sépp, di meññ te di law. Te noonu lay doxale ci yéen, li dale ci bés, ba ngeen dégge xebaaru yiwu Yàlla, te xam dëggam gi mu ëmb;
1:7	moom ngeen jànge ci Epafras, miy sunu nawle ci liggéey bi te nu sopp ko, di jawriñu Kirist bu takku ngir seen njariñ.
1:8	Te moo nu yégal it mbëggeel, gi Xelu Yàlla mi sol ci yéen.
1:9	Looloo tax ci sunu wàllu bopp, ba nu ko yégee ba tey, jógunu ci di leen ñaanal. Nu ngi ñaan Yàlla, ngeen xam bu baax coobareem ci xel mu mat ak ràññee gu aju ci dooley Xelam.
1:10	Noonu dingeen dund dund gu dëppoo ak seen bokk ci Boroom bi, ba neex ko ci fànn gu nekk, di def bépp jëf yu baax, te yokk seen xam-xam ci Yàlla.
1:11	Te Yàlla dina leen dooleel ak bépp doole, mu mengoo ak kàttanu ndamam, ngir ngeen man a tegoo coono te muñ, ba fa muñ di yem.
1:12	Dingeen gërëm Yàlla Baay bi, ànd ci ak mbég, moom mi leen jagleel, ngeen bokk ci cér, bi mu dencal gaayam yu sell yi ci leer.
1:13	Yàlla musal na nu ci dooley lëndëm, yóbbu nu ci nguuru Doomam ji mu bëgg,
1:14	moom mi nu jot, maanaam baal nu sunuy bàkkaar.
1:15	Doom jooju moo di melokaanu Yàlla, ji kenn gisul. Mooy taaw bi, ki gën a màgg lépp luy mbindeef.
1:16	Ndaxte ci moom la Yàlla sàkke lépp lu nekk ci asamaan ak suuf, li ñuy gis ak li ñu mënul a gis, muy buur, njiit, kilifa mbaa boroom sañ-sañ. Lépp lu ñu sàkk, ci moom lañu ko jaarale, ci moom lañu ko jëme.
1:17	Laata dara di am, fekkoon na moom mu nekk, te lépp a ngi jàppoo ci moom.
1:18	Mooy bopp bi yilif jëmm ji, di mbooloom ñi ko gëm, ndaxte moom mooy njàlbéen gi, di taaw bi, maanaam ki jëkk a dekki, ngir muy kilifa ci bépp fànn.
1:19	Ndaxte soob na Yàlla mu dëkkal matam gépp ci moom
1:20	te jaar ci moom, jubale lépp ak boppam, muy ci kaw asamaan yi mbaa ci suuf, ba mu wàccee jàmm jaarale ko ci deret ji tuuru, bi Doom ji deeyee ca bant ba.
1:21	Te yéen ñi sore woon Yàlla te doon ay noonam ci seen xel ak seen jëf yu bon,
1:22	léegi nag Yàlla jubale na leen ak boppam jaare ko ci deewu Kirist ci yaramu nitam, ngir taxawal leen ca kanamam, ngeen sell te ñàkk sikk ak i ŋàññ.
1:23	Loolu nag na fekk ngeen wéy ci ngëm, sampu ci ba dëgër ci, tey séentu cér, bi leen xebaar bu baax bi jox. Te xebaar bu baax, boobu ngeen dégg te ñu yégal waa àddina sépp, man Pool moom laay yégle.
1:24	Léegi nag maa ngi am bànneex ci coono, yi may daj ngir seen njariñ; te li des sax ci fitnay Kirist, noonu laa koy àggalee ngir njariñu mbooloom ñi gëm, di jëmmam.
1:25	Jawriñu mbooloo moomu laa, ndaxte Yàlla sas na ma ngir yéen, may yégle fu nekk kàddoom,
1:26	maanaam ma yégle kumpa, gi nëbbu woon ay jamonoy jamono, waaye léegi Yàlla xamal na ko ay gaayam
1:27	ci xeeti àddina sépp. Ñoom nag la Yàlla bëgg a xamal ni ndamu kumpa googu màgge, maanaam Kirist a ngi dëkk ci yéen, di yaakaar ju wér ci ndamu ëllëg.
1:28	Moom Kirist lanuy yégle, di artu te di jàngal ku nekk, ànd ak xel mu mat, ngir jébbal Yàlla ku nekk ni ku mat ci Kirist.
1:29	Ci loolu laay jëmale sama liggéey, di bëree dooley Kirist, jiy yengu ci man ak kàttan.
2:1	Bëgg naa nag, ngeen xam bëre bu metti, bi may bëre ngir yéen, ngir waa Lawdise ak ñépp ñi ma musul a teg bët. Damay def sama kem-kàttan,
2:2	ngir ngeen am fit te nekk benn ci mbëggeel, ngir dajal noonu xam-xam bu mat, ba xam kumpag Yàlla, di Kirist.
2:3	Ci moom lañu denc lépp lu ñuy sàkku ci xel ak ci xam-xam.
2:4	Maa ngi wax lii, ngir kenn bañ leen a nax ci ay wax yu neex.
2:5	Jëmm ji ñëwul waaye sama xel a ngi ci yéen, di bég ci seen doxalin ak ngëm gu dëgër, gi ngeen am ci Kirist.
2:6	Kon nag, ni ngeen nangoo Kirist Yeesu ni Boroom bi, dundeleen noonu ci moom.
2:7	Saxleen ci moom, di màgg ci moom, tey gën a dëgër ci ngëm, gi ñu leen jàngal, ba seen xol di baawaan ci gërëm Yàlla.
2:8	Moytuleen ba kenn bañ leen a fàbbi ci ay xam-xami nit yuy naxi neen. Xam-xam yu mel noonu, ñu ngi soqikoo ci aada yu nit tëral, ci aaday àddina, waaye soqikoowul ci Kirist.
2:9	Ndaxte ci Kirist, maanaam ci yaramu nitam, la matug Yàlla gépp dëkk,
2:10	te mat ngeen ci moom, miy buuru kilifa yépp ak boroom sañ-sañ yépp.
2:11	Ndax seen ngëm ci moom xaraf ngeen xaraf bu loxol nit deful, maanaam Kirist summil na leen dooley bàkkaar, ji moomoon seen yaram. Loolu mooy xaraf, bi Kirist def.
2:12	Bi ñu leen sóobee ci ndox, suulaale nañu leen ak moom, te it dekki ngeen ak moom, ndaxte gëm ngeen ci dooley Yàlla, ji ko dekkal ca néew ya.
2:13	Te yéen ñi doon ndee fa kanam Yàlla ndax seeni moy ak seen ñàkka xaraf, Yàlla dundalaat na leen ak Kirist, baal nu sunuy bàkkaar yépp.
2:14	Mbind mi nu doon tiiñal, te daa nu yey ndax ay sàrtam, Yàlla far na ko, dindi ko, daajaale ko ca bant, ba Kirist deeye.
2:15	Futti na kilifa yi ak boroom sañ-sañ yi, weer leen ci kanamu ñépp, sëkktal leen niy jaam ndax ndam la Kirist jële ca bant ba.
2:16	Kon nag bu leen kenn teg tooñ ci li jëm ciy ñam mbaa naan, ci màggal mbaa xewu weer wu feeñ, mbaa ci bésu noflaay.
2:17	Loolu lépp nag takkandeer la woon buy misaal li waroon a ñëw, waaye lu dëggu li mi ngi ci Kirist.
2:18	Kuy bég ci di toroxlu ci ngistal, di jaamu ay malaaka, buleen ko may, mu àtte leen. Kooku dafay jeneer, di seet li koy feeñu, bay tiitaroo xalaatam, fekk xalaatu nit kese la, te neen.
2:19	Taqul ci Kirist, miy bopp bi yilif jëmm ji. Bopp bee tax ba jëmm jépp, ji siddit yi ak tenqo yi téye te taqale ko, di màgg màgg gi ko Yàlla di jox.
2:20	Ndegam deeyandoo ngeen ak Kirist, ba génne noonu ci aaday àddina, lu tax ngeen di nangu, ñu di leen teg ay sàrt yu mel nii: «Bul fab, bul ñam, bul laal,» ni bu seenug dund aju woon ci àddina si?
2:22	Sàrt yooyu ñu ngi aju ci ndigali nit ñi ak seen njàngale. Yëf yi ñu tudd yépp, dees na leen jariñoo, ba ñu jeex.
2:23	Dëgg la, seeni sàrt dañuy dénkaane pasteef ci jaamu Yàlla, di toroxlu ak di fitnaal seen yaram. Waaye sàrt yooyu nag amuñu benn njariñ, ngir nit ñi noot seen nafsu.
3:1	Kon nag ndegam dekkeendoo ngeen ak Kirist, wutleen yëf, ya nekk ca kaw, fa Kirist toog ca ndeyjooru Yàlla.
3:2	Fonkleen yëf ya ca kaw, te ngeen bañ a faale yi ci suuf,
3:3	ndaxte dee ngeen, te seen dund boole nañu ko ak Kirist, denc ca Yàlla.
3:4	Te bés bu Kirist miy seen dund feeñee, yéen itam dingeen feeñ ak moom ci biir ndam.
