1:1	Man Saag, jaamu Yàlla ak Boroom bi Yeesu Kirist, maa leen di nuyu, yéen fukki giir ak ñaar, yi tasaaroo ci biir àddina si.
1:2	Yéen samay bokk, waxtu wu nattu yi dalee ci seen kaw, ak nu ñu man a mel, defleen ko ni mbég mu réy,
1:3	xam ne nattub ngëm mooy ndeyu muñ.
1:4	Kon na seen muñ dem ba mat, ngir ngeen bañ a fell fenn, waaye ngeen mat sëkk.
1:5	Ku xelam des ci benn fànn ci yéen nag, na ko ñaan Yàlla, te dina ko ko may, ndaxte Yàlla mooy Aji Yéwén, jiy may ñépp ci lu àndul ak genn ŋàññ.
1:6	Waaye na ko ñaan ci ngëm te bañ cee werante; ndaxte kiy werante mi ngi mel ni ndoxum géej, mi ngelaw liy lëmbaaje wet gu ne.
1:7	Bu kooku yaakaar dara ci Boroom bi.
1:8	Ku am xel ñaar la, te ñàkk pasteef ci lépp lu mu man a def.
1:9	Naka mbokk mi néew doole, na sant ci teraangaam fa kanam Yàlla,
1:10	te boroom alal it sant cig suufeem, ndax ni tóor-tóor di ruuse, noonu lay wéye.
1:11	Su jant fenkee, ba naaj wi tàng, kon gàncax lax, tóor-tóor ruus, te rafetaayam naaw. Noonu la boroom alal di nasaxe, moom ak i jëfam.
1:12	Ku dékku nattu, ku barkeel nga, ndax boo ci génnee ak ndam, dees na la jagleel kaalag dund, gi Yàlla dig ñi ko bëgg.
1:13	Bu la fiir galanee, bul ne: «Yàllaa ko dogal,» ndaxte Yàlla jegewul ak mbon fenn te du fiir kenn.
1:14	Waaye ku sa bakkan nax, ba man la, looloo lay dugal ci fiir.
1:15	Kon bu bëgg-bëgg ëmbee, bàkkaar lay wasin, te bu bàkkaar màggee, jur dee.
1:16	Yéen sama bokk yi ma bëgg, buleen juum ci lii:
1:17	gépp may gu baax ak gépp jagle gu mat, ci Yàlla la jóge, di Baay bi sàkk leeri asamaan, fekk moom du soppiku, mbaa muy leer ak di lëndëm.
1:18	Ci coobareem la nu sole kàddug dëgg gi, ba nu judduwaat, di tànneefu lépp lu mu bind.
1:19	Yéen sama bokk yi ma bëgg, nangeen xam lii: ku nekk war ngaa farlu ci déglu, di yéex a wax tey yéex a mer.
1:20	Ndaxte meru nit du jur njub gi neex Yàlla.
1:21	Moo tax nanguleen ci woyof kàddu, gi leen Yàlla sol te man leen a musal, di dëddu bépp sobe ak coxor gi daj àddina.
1:22	Buleen yem ci déglu kàddu gi rekk, di nax seen bopp; waaye jëfeleen ko.
1:23	Ndaxte ku déglu kàddu gi, te bañ koo jëfe, moom ak kuy seetu ñoo yem;
1:24	day gis xar-kanamam, te su nee wërëñ, daldi fàtte meloom.
1:25	Waaye kuy gëstu yoonu Yàlla, wi mat tey goreel --waxuma ki dégg, ba noppi fàtte, waaye kiy jëfe ndigal — kooku barkeel na ci kaw jëfam.
1:26	Ku yaakaar ne am na diine, waaye moomul làmmiñam, xanaa di nax boppam rekk, diineem jooju du diiney dara.
1:27	Ku diineem sell te amul benn gàkk fa kanam Yàlla mooy kii: ki nemmiku jiirim yi ak jigéen ñi seen jëkkër faatu ci seeni tiis, tey waggar sobey àddina.
2:1	Yéen samay bokk, bu benn gënale laal seen ngëm ci sunu Boroom Yeesu Kirist, mi soloo ndam.
2:2	Ndaxte su ñaari nit duggee ci seen mbooloo, kii takk jaaroy wurus te sol yére yu taaru, ka ca des ñàkk te limboo ay sagar,
2:3	ngeen teral boroom daraja ji ne ko: «Àggal ci jataay bu yiw bi,» ba noppi ngeen ne aji néew doole ji: «Taxawal fale, mbaa nga toog fi ci samay tànk,»
2:4	kon gënale ngeen ci seen biir, ba àtte ci col, bàyyi xol.
2:5	Dégluleen yéen sama bokk yi ma bëgg, ndax Yàlla tànnul ñi néewle ci àddina, ngir ñu barele ci ngëm, tey am i cér ci nguur, gi Yàlla dig ñi ko bëgg?
2:6	Fekk dangeen leen di toroxal! Xanaa du boroom alal yi ñoo leen di noot te di leen yóbbu fa kanam àttekat yi?
2:7	Ndax duñu tilimal tur wu tedd, wi ngeen di wuyoo?
2:8	Su ngeen sàmmee yoonu Buur Yàlla, ni ko Mbind mi tërale naan: «Nanga bëgg sa moroom, ni nga bëgge sa bopp,» kon def ngeen lu baax.
2:9	Waaye su ngeen gënalee, bàkkaar ngeen, te yoonu Yàlla dina leen dab ni ñu moy.
2:10	Ndaxte ku sàmm yoon wépp, waaye xëtt ci lenn ndigal rekk, jàdd nga yoon wépp.
2:11	Ndaxte Yàlla mi ne: «Bul njaaloo,» teg na ca ne: «Bul rey nit.» Ku njaaloowul nag, waaye nga rey nit, jàdd nga yoon wépp.
2:12	Gannaaw dingeen nar a jaar ci àtteb yoon, wiy goreel, na loolu lal seen wax ak seen jëf.
2:13	Ndaxte ku yërëmul, yoon du la yërëm. Te yërmande mooy noot àtte.
2:14	Te lii itam samay bokk, ku ne gëm nga, te jëfewoo ko, loolu lu muy jariñ? Ndax googu ngëm man na laa musal?
