1:1	Nu ngi leen di bind ci mbirum Ki ñuy wax Kàddug dund, moom mi amoon ca njàlbéen ga; mi nu dégg te gis ko ak sunuy bët, mi nu xool te laal ko ak sunuy loxo.
1:2	Dund feeñ na, te gis nanu ko; te moom lanuy seedeel, di leen yégal dund gu dul jeex, googu nekkoon ci wetu Yàlla Baay bi te feeñu nu.
1:3	Li nu gis te dégg ko, nu ngi leen koy yégal, ngir yéen itam ngeen bokk ak nun. Te dëgg-dëgg bokk nanu ci Baay bi ak Doomam, Yeesu Kirist.
1:4	Nu ngi leen di bind yëf yii, ngir sunu mbég mat sëkk, nun ñépp.
1:5	Xebaar bi nu dégg ci Yeesu Kirist, di leen ko yégal, mooy lii: Yàlla Leer la, te genn lëndëm nekkul ci moom.
1:6	Su nu waxee ne, bokk nanu ci moom, tey dox ci lëndëm, danuy fen ci sunuy wax ak sunuy jëf.
1:7	Waaye bu nuy dox ci leer, ni mu nekke moom ci boppam ci leer, kon bokk nanu ci sunu biir, te deretu Yeesu Doomam dina nu sellal ci bépp bàkkaar.
1:8	Su nu waxee ne amunu bàkkaar, kon nax nanu sunu bopp, te dëgg nekkul ci nun.
1:9	Su nu nangoo sunuy bàkkaar ci kanamam, fekk kuy sàmm kóllëre la te jub, ngir baal nu sunuy bàkkaar te sellal nu ci lépp lu jubadi.
1:10	Su nu waxee ne defunu bàkkaar, teg nanu ko kuy tebbi waxam, te kàddoom duggagul ci sunu xol.
2:1	Samay doom, maa ngi leen di bind yëf yii, ngir ngeen bañ a def bàkkaar. Waaye su kenn defee bàkkaar, ba tey am nanu ku nuy rammu ci Baay bi, mooy Yeesu Kirist mu jub mi.
2:2	Te moo joxe bakkanam, ngir dindi sunuy bàkkaar, te du sax sunuy bàkkaar rekk, waaye yu àddina sépp.
2:3	Ci lii lanu xame ne, xam nanu ko: sàmm ay ndigalam.
2:4	Ku wax ne xam nga ko, te sàmmoo ay ndigalam, dangay fen, te dëgg nekkul ci yaw.
2:5	Kuy sàmm kàddug Yàlla, dëgg-dëgg sa mbëggeel ci Yàlla mat na sëkk. Ci loolu lanu xame ne, nekk nanu ci moom.
2:6	Ku wax ne ci Yàlla nga sax, fàww nga dund, ni Yeesu Kirist daan dunde moom ci boppam.
2:7	Samay soppe, li ma leen di bind du ndigal lu bees, waaye ndigal lu yàgg la; la ngeen jotoon ca ndoorte la. Te ndigal lu yàgg loolu, mooy kàddu gi ngeen déggoon.
2:8	Teewul ndigal lu bees laa leen di bind, lu amoon ci dundu Yeesu, te am it ci seen dund; ndaxte lëndëm gaa ngi wéy, te leer gu wóor gi fenk na xaat.
2:9	Ku wax ne yaa ngi ci leer, tey bañ sa mbokk, yaa ngi ci lëndëm ba tey.
2:10	Kuy sopp sa mbokk, yaa ngi dëkk ci leer, te luy yóbbe nit bàkkaar du nekk ci yaw.
2:11	Waaye kuy bañ sa mbokk, ci lëndëm nga nekk, di ci dox, te xamoo foo jëm, ndax lëndëm muur na say bët.
2:12	Samay doom, maa ngi leen di bind,ndax baalees na leen seeni bàkkaar ci turu Kirist.
2:13	Maa ngi leen di bind, yéen baay yi,ndax xam ngeen Ki nekkoon ca njàlbéen ga ba tey.Maa ngi leen di bind, yéen waxambaane yi,ndax daaneel ngeen Ibliis.
2:14	Bind naa leen, samay doom,ndax xam ngeen Yàlla Baay bi.Bind naa leen, yéen baay yi,ndax xam ngeen Ki nekkoon ca njàlbéen ga ba tey.Bind naa leen, yéen waxambaane yi,ndax yéena ngi dëgër,ndax kàddug Yàllaa ngi dëkk ci yéen,te daaneel ngeen Ibliis.
2:15	Buleen sopp àddina ak li ci biiram. Ku sopp àddina, mbëggeelu Baay bi nekkul ci moom.
2:16	Ndaxte lépp lu nekk ci àddina, maanaam bëgg-bëggu yaram ak xemmemu bët ak réyug àddina, loolu du jóge ci Baay bi waaye ci àddina.
2:17	Te àddina day wéy, waaye kuy def coobareg Yàlla dinga sax ba fàww.
2:18	Samay doom, waxtu wu mujj wi jot na! Dégg ngeen ne, benn Bañaaleb Kirist dina ñëw; te dëgg la, bañaaley Kirist yu bare feeñ nañu. Ci loolu lanu xame ne, waxtu wu mujj wi jot na.
2:19	Ci sunu biir lañu jóge, waaye bokkuñu woon ci nun; ndaxte su ñu bokkoon ci nun, kon dinañu des ci nun. Waaye dàggeeku nañu nu, ngir mu leer ne, kenn ci ñoom bokkul woon ci nun.
2:20	Yéen nag, Aji Sell ji sol na leen Xelam, te yéen ñépp am ngeen xam-xam.
2:21	Bind naa leen, du ndax xamuleen dëgg, waaye ndax xam ngeen ko, xam it ne wenn fen du jóge ci dëgg.
2:22	Kan mooy fenkat bi? Mooy kiy weddi ne Yeesu mooy Kirist, Almasi bi. Kooka mooy Bañaaleb Kirist, biy weddi Baay bi ak Doom ji.
2:23	Ku weddi Doom ji, amuloo itam Baay bi; ku seedeel Doom ji, am nga it Baay bi.
2:24	Yéen nag, la ngeen déggoon ca ndoorte la, na sax ci yéen. Loolu ngeen déggoon ca ndoorte la, su saxee ci yéen, dingeen sax yéen itam ci Doom ji ak ci Baay bi.
2:25	Te li mu nu digoon mooy lii: dund gu dul jeex.
2:26	Bind naa leen lii ci mbirum ñi leen di bëgg a réeral.
2:27	Yéen nag, Xel mi leen Kirist sol a ngi dëkk ci yéen, te soxlawuleen kenn jàngal leen dara. Waaye Xel mi mu leen sol, mi ngi leen di jàngal lépp, te li mu leen di jàngal mooy dëgg; kon nag saxleen ci moom, ni mu leen ko jàngale.
2:28	Gannaaw loolu nag yéen samay doom, saxleen ci Kirist, ngir bés bu feeñee, nu am kóolute ci kanamam te bañ a rus ba sëngéem cig dikkam.
2:29	Gannaaw xam ngeen ne ku jub la, dingeen xam it ne, képp kuy def lu jub juddu nga ci moom.
3:1	Xool-leen mbëggeel gi nu Baay bi jox, ni mu réye, ba nu man a tudd doomi Yàlla. Te moom lanu. Moo tax àddina xamu nu, ndaxte xamu ko woon, moom itam.
3:2	Samay soppe, léegi doomi Yàlla lanu, te li nu nar a nekki feeñagul, waaye xam nanu ne, bés bu Almasi bi feeñee, dinanu nirook moom, ndaxte dinanu ko gis, na mu mel.
3:3	Te képp ku am yaakaar jooju ci moom, dinga sellal sa bopp, ni mu selle moom.
3:4	Ku def bàkkaar, jàdd nga yoon; ndaxte bàkkaar mooy jàdd yoon.
