1:1	Man njiit li, maa ngi lay bind, yaw sama xarit Gayus, mi ma bëgg ci sama xol.
1:2	Sama soppe, maa ngi ñaan, Yàlla may la jàmm ci lépp, ànd ak wér gi yaram, ju mel ni sa naataangeg xol.
1:3	Sunuy mbokk ñëw nañu, te seede ni nga fonke dëgg gi, ba wéer ci sa dund gépp, te bég naa ci lool.
1:4	Awma mbég mu ëpp lii: ma dégg ne samay doomi diine ñu ngiy jaar ci tànki dëgg.
1:5	Yaw sama xarit, sa takkute fés na ci teeru bi ngay teeru mbokk yi, te fekk xamoo leen.
1:6	Seedeel nañu sa mbëggeel fi kanam mbooloom ñi gëm. Taxawu leen nag ci seen yoon taxawu gu neex Yàlla.
1:7	Ndaxte turu Krist la leen taxa jóg, te sàkkuwuñu daray ku gëmul.
1:8	Nun nag fàww nu teeru ñu mel ni ñoom, ngir nu liggéeyandoo ak dëgg gi.
1:9	Bind naa mbooloo mi bataaxel, waaye Jotref, mi bëgg noot ñépp, du dégg sunu ndigal.
1:10	Kon nag su ma ñëwee, dinaa fàttali li mu def lépp, ci di nu sosal ci kàdduy neen yu ñaaw. Yemu foofu sax, waaye nanguwula teeru mbokk yi, rax-ca-dolli ku leen bëgga teeru, mu gàllankoor ko, dàq ko ci mbooloo mi.
1:11	Sama xarit, bul roy lu bon, waaye lu baax rekk. Kuy def lu baax, ci Yàlla nga bokk; kuy def lu bon, xamoo dara ci Yàlla.
1:12	Naka Démétrius nag, ñépp seedeel nañu ko lu baax, te dëgg gi sax seedeel na ko ko. Nun itam seedeel nanu ko te wóor na ma ne, sunu seede dëgg la.
1:13	Am na lu bare, lu ma la bëggoona wax, waaye lépp xajul ci kayit.
1:14	Kon yaakaar naa laa seetsi balaa yàgg, jàkkaarlook yaw, nu waxtaan ci.
1:15	Na jàmm ànd ak yaw. Xarit yi yépp ñu ngi lay nuyu. Nuyul nu sunuy xarit, kenn ku nekk ci turam.
