1:1	Xebaar bu baaxu Yeesu Kirist, Doomu Yàlla, nii la tàmbalee.
1:2	Bind nañu ci téereb yonent Yàlla Esayi naan:«Maa ngi yónni sama ndaw ci sa kanam,mu xàllal la sa yoon.
1:3	Baat a ngi xaacu ca màndiŋ ma naan:“Xàll-leen yoonu Boroom bi,jubal-leen fi muy jaar.”»
1:4	Noonu Yaxya feeñ ca màndiŋ ma, di sóob nit ñi ci ndox, tey waaree nii: «Tuubleen seeni bàkkaar, ba noppi ma sóob leen ci ndox, ngir Yàlla baal leen seeni bàkkaar.»
1:5	Kon waa diiwaanu Yude ñépp ak waa dëkku Yerusalem ñépp daldi génn jëm ci moom, di nangu seeni bàkkaar fi kanam ñépp, Yaxya sóob leen ca dexu Yurdan.
1:6	Yaxya nag mi ngi soloon mbubb mu ñu ràbbe kawaru giléem, takk laxasaayu der ci ndiggam. Ay njéeréer la doon dunde ak lem.
1:7	Mu waare ne: «Am na kuy ñëw sama gannaaw koo xam ne kii moo ma ëpp kàttan; yeyoowuma sax sëgg, ngir tekki ay dàllam.
1:8	Maa ngi leen di sóob ci ndox, waaye moom dina leen sóob ci Xel mu Sell mi.»
1:9	Booba Yeesu jóge na dëkku Nasaret ci diiwaanu Galile, ñëw, Yaxya sóob ko ci dexu Yurdan.
1:10	Bi muy génn ndox mi, mu daldi gis asamaan xar, te Xelum Yàlla di wàcc ci melow pitax, ñëw ci moom.
1:11	Te baat bu jóge asamaan jib ne: «Yaa di sama Doom, ji ma bëgg; ci yaw laa ame bànneex.»
1:12	Ci kaw loolu Xelum Yàlla daldi jéñ Yeesu, mu dem ca màndiŋ ma.
1:13	Mu nekk fa ñeent-fukki fan, jànkoonte ak fiiri Seytaane; mu dëkk ci biir rabi àll yi, te malaakay Yàlla di ko topptoo.
1:14	Bi nga xamee ne jàpp nañu Yaxya, Yeesu dem ca diiwaanu Galile, di waare xebaar bu baaxu Yàlla,
1:15	naan: «Jamono ji mat na, nguuru Yàlla jegesi na; tuubleen seeni bàkkaar te gëm xebaar bu baax bi.»
1:16	Am bés Yeesu doon dox ca tefesu dexu Galile, mu gis fa ñaar ñu bokk ndey ak baay, di Simoŋ ak Andare rakkam, ñuy sànni seeni mbaal ci dex gi, ndaxte ay nappkat lañu woon.
1:17	Yeesu ne leen: «Ñëwleen topp ci man, dinaa leen def nappkati nit.»
1:18	Ci saa si ñu bàyyi seeni mbaal, topp ci moom.
1:19	Bi Yeesu demee ba ca kanam, mu gis Saag doomu Sebede, ak Yowaana, mi mu bokkal ndey ak baay, ñu nekk ci gaal gi, di defar seeni mbaal.
1:20	Noonu Yeesu woo leen, ñu daldi bàyyi seen baay Sebede ci gaal gi, moom ak surga ya, tey topp ci moom.
1:21	Gannaaw loolu ñu dem Kapernawum. Ca bésu noflaay nag Yeesu daldi dugg ci jàngu bi, di leen jàngal.
1:22	Te ñu waaru ca njàngaleem, ndaxte jàngal na leen ak sañ-sañ bu seeni xutbakat amul.
1:23	Noonu am na ci jàngu bi nit ku rab jàpp. Mu daldi yuuxu naan:
1:24	«Yaw Yeesum Nasaret, loo nuy fexeel? Ndax dangaa ñëw, ngir alag nu? Xam naa la, yaa di Aji Sell, ji jóge ci Yàlla.»
1:25	Waaye Yeesu gëdd ko naan: «Noppil te génn ci moom.»
1:26	Noonu rab wi daldi sayloo nit ki te génn ci moom ak yuux gu réy.
1:27	Bi loolu amee ñépp waaru, ba laajante naan: «Kii mooy kan? Mii njàngale lu bees la te ànd ak sañ-sañ. Day sant rab yi sax, ñu di ko déggal.»
1:28	Noonu turam daldi siiw ci diiwaani Galile gépp.
1:29	Bi nga xamee ne génn nañu ci jàngu bi, ñu ànd ak Saag ak Yowaana, dem ci kër Simoŋ ak Andare.
1:30	Fekk gorob Simoŋ bu jigéen tëdd wopp ak yaram wu tàng; ñu daldi ko yégal Yeesu.
1:31	Mu ñëw nag ci moom, jàpp loxoom, yékkati ko. Noonu tàngoor wi daldi wàcc, te soxna si di leen topptoo.
1:32	Ca ngoon sa nag, bi jant sowee, ñu indil Yeesu ñi wopp ñépp ak ñi rab jàpp ñépp,
1:33	ba dëkk bi bépp dajaloo ci buntu kër gi.
1:34	Noonu mu wéral ñu bare, ñu wopp ak ay jàngoro yu wuute, te dàq ay rab yu bare. Waaye mu tere rab yi, ñu wax dara, ndaxte xam nañu ko.
1:35	Ca njël laata bët di set, Yeesu jóg dem ca bérab bu wéet, di fa ñaan Yàlla.
1:36	Simoŋ nag ak ñi ànd ak moom di ko seet fu nekk.
1:37	Bi ñu ko gisee, ñu ne ko: «Ñépp a ngi lay seet.»
1:38	Waaye Yeesu tontu leen: «Nanu dem feneen ci dëkk yi nu wër, ma waare fa itam, ndaxte moo tax ma génn.»
1:39	Noonu mu wër ci diiwaanu Galile gépp, di waare ci seeni jàngu, tey dàq rab yi.
1:40	Am bés ku gaana ñëw ci moom, sukk, ñaan ko ne: «Soo ko bëggee, man nga maa wéral.»
1:41	Yeesu yërëm ko, tàllal loxoom, laal ko naan: «Bëgg naa ko, wéral.»
1:42	Ca saa sa ngaanaam daldi deñ, mu wér.
1:43	Noonu Yeesu yebal ko, dénk ko bu wér naan:
1:44	«Moytul a wax kenn dara, waaye demal won sa bopp saraxalekat bi, te nga jébbal Yàlla sarax, si yoonu Musaa santaane, ngir ñu xam ne wér nga, te mu nekk seede ci ñoom.»
1:45	Waaye naka la waa ji génn, mu di yéene ci kaw li xewoon, te di ko jéebaane, ba tax Yeesu mënatul a faŋaaral dugg cib dëkk, waaye mu nekk ci biti ciy bérab yu wéet. Ba tey nit ñi jóge fu nekk, di ko fa fekk.
2:1	Bi ay fan weesoo, Yeesu dellusi dëkku Kapernawum, mu siiw ne mu ngi ci kër gi.
2:2	Noonu nit ñu bare dajaloo fa, ba kenn amatul foo taxaw, du ci bunt bi sax. Te Yeesu di leen yégal kàddu gi.
2:3	Noonu, am ñu ko indil ku yaramam wépp làggi, ñeenti nit jàppoo ko.
2:4	Waaye mënuñu koo jege ndax mbooloo mi. Kon ñu daldi teggi kaw kër gi, di bëtt fa tiim bérab ba Yeesu nekk, daldi yoor basaŋ, ga làggi ba tëdd.
2:5	Bi Yeesu gisee seen ngëm, mu ne làggi ba: «Sama waay, baal nañu la say bàkkaar.»
2:6	Fekk ay xutbakat toog fa, ñu di werante ci seen xel naan:
2:7	«Kii kan la, ba sañ a wax lii; mi ngi sosal Yàlla. Ana ku man a baale bàkkaar yi, ku dul Yàlla doŋŋ?»
2:8	Waaye Yeesu yég ci xelam li ñuy werante ci seen biir, ne leen: «Lu tax ngeen di werantee nii ci seen xel?
2:9	Lan moo gën a yomb, ma wax ku làggi ki: “Baal nañu la say bàkkaar,” walla ma wax ko: “Jógal, jël sa basaŋ, tey dox”?
2:10	Waaye xamleen ne, Doomu nit ki am na ci àddina sañ-sañu baale bàkkaar yi.» Ci kaw loolu mu ne làggi ba:
2:11	«Maa ngi la koy sant, jógal, jël sa basaŋ te nga ñibbi.»
2:12	Ca saa sa mu jël basaŋam te génn fa kanam ñépp. Noonu ñépp waaru, di màggal Yàlla naan: «Lu mel ni lii, musunu koo gis.»
2:13	Gannaaw loolu Yeesu génnaat, aw booru dex ga, mbooloo mépp di ñëw ci moom, mu di leen jàngal.
2:14	Bi Yeesu di romb, mu gis ku ñuy wax Lewi, doomu Alfe, toog ca juuti ba. Yeesu ne ko: «Kaay topp ci man.» Mu jóg, daldi topp ci moom.
2:15	Bi loolu amee Yeesu ak i taalibeem di lekk ci kër Lewi, fekk ay juutikat ak ay boroom bàkkaar yu bare di lekkandoo ak ñoom, ndaxte ñu bare ci ñoom a ko toppoon.
2:16	Waaye xutbakat yi bokk ci Farisen yi, bi ñu gisee ne, dafa bokk lekk ak ay juutikat ak ay boroom bàkkaar, ñu daldi laaj taalibe yi: «Lu tax muy lekkandoo ak ay juutikat ak ay boroom bàkkaar?»
2:17	Noonu Yeesu dégg ko, mu ne leen: «Ñi wér soxlawuñu fajkat, ñi wéradi ñoo ko soxla; ñëwuma woo ñi jub, waaye bàkkaarkat yi laay woo.»
2:18	Taalibey Yaxya nag ak Farisen yi daan nañu woor. Ñu ñëw nag fi Yeesu ne ko: «Lu tax taalibey Yaxya yi ak yu Farisen yi di woor, te say taalibe duñu woor?»
2:19	Yeesu tontu leen: «Ndax gan, yi ñëw cig céet, dinañu woor, fekk boroom céet gi ànd ak ñoom? Duñu woor, li feek boroom céet gaa ngi ànd ak ñoom.
2:20	Waaye bés yaa ngi ñëw, yu ñuy jële boroom céet gi; bés boobaa nag dinañu woor.
2:21	«Kenn du daax mbubb mu màggat ak sekkit wu bees; ndaxte sekkit wi day ñoddi mbubb mi, te xottiku bi gën a yaatu.
2:22	Te kenn du def biiñ bu bees ci mbuusi der yu màggat. Lu ko moy, biiñ bi day toj mbuus yi, ba mbuus yi yàqu, ak biiñ bi tuuru. Waaye biiñ bu bees, ci mbuus yu bees lañu koy def.»
2:23	Amoon na benn bésu noflaay Yeesu jaar ciy tool yu ñor. Bi ñuy dem nag, ay taalibeem daldi fàq ay gub.
2:24	Noonu Farisen ya ne Yeesu: «Gisal, lu tax say taalibe di def lu jaaduwul ci bésu noflaay bi?»
