1:1	Lii mooy cosaanu Yeesu Kirist, sëtu Daawuda, sëtu Ibraayma.
1:2	Ibraayma moo jur Isaaxa; Isaaxa jur Yanqóoba; Yanqóoba jur Yuda ak i doomi baayam;
1:3	Yuda, Fares ak Sara ci Tamar; Fares Esrom, miy baayu Aram;
1:4	Aram Aminadab; Aminadab Naason; Naason Salmon;
1:5	Salmon jur ci Raxab doom ju tudd Bowas; Bowas am ak Ruut Obedd; Obedd jur Yese,
1:6	miy baayu buur bi Daawuda. Daawuda moo jur Suleymaan ci ki nekkoon jabari Uri;
1:7	Suleymaan jur Robowam; Robowam Abiya; Abiya Asaf;
1:8	Asaf Yosafat; Yosafat Yoram, miy baayu Osiyas;
1:9	Osiyas jur Yowatam; Yowatam Akas, miy baayu Esekiyas;
1:10	Esekiyas Manase; Manase Amon; Amon Yosiyas;
1:11	Yosiyas jur Yekoñas ak i doomi baayam ca jamono, ja ñu defe Yawut ya jaam, yóbbu leen Babilon.
1:12	Ba ñu leen yóbboo ca Babilon, Yekoñas jur Salacel; Salacel Sorobabel,
1:13	miy baayu Abiyudd; Abiyudd Eliyakim; Eliyakim Asor;
1:14	Asor Sadog; Sadog Akim; Akim Eliyudd;
1:15	Eliyudd Eleyasar; Eleyasar Matan, miy baayu Yanqóoba;
1:16	Yanqóoba nag moo jur Yuusufa jëkkëru Maryaama; te ci Maryaama la Yeesu, mi ñuy wax Kirist, juddoo.
1:17	Mboolem giir googu nag, la dale ca Ibraayma ba ca Daawuda, fukk lañu ak ñeent; la dale ca Daawuda ba ca njaam ga ca Babilon, fukk lañu ak ñeent; la dale njaam ga ca Babilon ba ci Kirist, fukk lañu ak ñeent.
1:18	Nii la Yeesu Kirist juddoo. Bi ñu mayee Maryaama ndeyam Yuusufa, waaye laata ñoo ànd, gis nañu ne dafa ëmb ci kàttanu Xel mu Sell mi.
1:19	Yuusufa jëkkëram nag, nekkoon na nit ku jub te bëggu ko woon a weer. Mu nar a xàccook moom ci sutura.
1:20	Waaye bi muy xalaat ci loolu, benn malaakam Boroom bi daldi ko feeñu ci gént ne ko: «Yaw Yuusufa, sëtu Daawuda, bul ragal a yeggali Maryaama sa jabar, ndaxte doom ji mu ëmb, ci Xel mu Sell mi la jóge.
1:21	Dina jur doom ju góor; na nga ko tudde Yeesu, ndaxte moo di kiy musal xeetam ci seeni bàkkaar.»
1:22	Loolu lépp xewoon na, ngir amal li Boroom bi wax, jaarale ko cib yonent, bi mu naan:
1:23	«Janq bi dina ëmb,jur doom ju góor,ñu tudde ko Emanuwel,» liy tekki «Yàlla ganesi na nu.»
1:24	Noonu Yuusufa yeewu, yeggali jabaram, na ko ko malaakam Boroom bi sante woon.
1:25	Waaye àndul ak moom, ba kera mu mucc, jur doom ju góor; mu tudde ko Yeesu.
2:1	Bi nga xamee ne Yeesu juddu na ci Betleyem ci diiwaanu Yude, amoon na ay boroom xam-xam, ñu jóge penku, ñëw Yerusalem. Booba, ci jamonoy buur bi Erodd la woon.
2:2	Ñu ne: «Ana buur bi juddul Yawut yi? Ndaxte gis nanu biddiiwam ci penku te ñëw nanu ngir màggal ko.»
2:3	Bi ko Erodd buur ba déggee, mu daldi jaaxle, moom ak waa Yerusalem gépp.
2:4	Mu woolu nag saraxalekat yu mag yépp ak xutbakati xeet wa, laaj leen fu Almasi bi, maanaam Kirist, war a juddoo.
2:5	Ñu ne ko: «Ca Betleyem ci diiwaanu Yude, ndaxte lii lañu bind jaarale ko cib yonent:
2:6	“Yaw Betleyem ci diiwaanu Yude,du yaw yaa yées ci njiiti Yude,ndaxte ci yaw la njiit di génne,kiy sàmm Israyil sama xeet.”»
2:7	Ci kaw loolu Erodd woolu ci kumpa boroom xam-xam ya, di leen ceddowu, ngir xam bu wóor kañ la biddiiw bi feq.
2:8	Noonu mu yebal leen Betleyem naan: «Demleen fa, seet bu wóor mbirum xale ba. Bu ngeen ci amee lu wóor nag, ngeen xamal ma ko, ngir man itam ma dem màggal ko.»
2:9	Ba ñu dégloo buur ba nag, ñu dem. Te biddiiw, ba ñu gisoon ca penku ba, ne tell jiite leen, ba àgg, tiim fa xale ba nekk.
2:10	Ba ñu gisee biddiiw ba nag, ñu am mbég mu réy-a-réy.
