1:1	Nun Pool ak Timote, jaami Kirist Yeesu, noo leen di bind, yéen gaayi Yàlla yu sell yépp ci dëkku Filib, yi bokk ci Kirist Yeesu, yéen ak seeni njiit ak ñiy topptoo yëfi mbooloo mi.
1:2	Na leen Yàlla sunu Baay ak Boroom bi Yeesu Kirist may yiw ak jàmm.
1:3	Yoon wu ma leen di xalaat, maa ngi sant Yàlla sama Boroom;
1:4	te saa su ma leen di ñaanal yéen yépp, duma noppee bég,
1:5	ndax seen ànd ak man ci tas xebaar bu baax bi, ca ndoorte la ba tey.
1:6	Wóor na ma ne, Yàlla mi tàmbali jëf ju baax jii ci yéen, dina ci sax, ba bésu Kirist Yeesu ñëw.
1:7	Te juumuma ci li ma xalaat loolu ci yéen ñépp, ndaxte def naa leen ci sama xol; ba tax fii ci kaso bi, ci taxawal xebaar bu baax bi ak lawal ko, yéen ñépp am ngeen wàll ak man ci yiwu Yàlla.
1:8	Ndaxte Yàllaa seede ne, sama xol seey na ci yéen ñépp ci biir cofeelu Kirist Yeesu.
1:9	Li ma leen di ñaanal nag mooy lii: na seen mbëggeel di yokku tey gën a tar, jaar ci xam ak xàmmi gu wér;
1:10	nangeen sax noonu ci yi gën a rafet, ngeen am xol bu laab te bañ a am benn sikk, ba bésu Kirist ñëw;
1:11	na seen xol meññ njub, ba ne gàññ, jaar ci Yeesu Kirist ci ndamul Yàlla ak cantam.
1:12	Damaa bëgg, bokk yi, ngeen xam lii: li ma dal taxul xebaar bu baax dellu gannaaw, waaye da koo jëmale kanam.
1:13	Noonu ñiy wottu buur bi ak ñépp gis nañu bu leer ne, turu Kirist rekk a tax ñu jàpp ma.
1:14	Te it bokk yu bare takk nañu seeni fit ci li ñu gis samay buum, ba tax ñu gën a ñeme ci wax kàddug Yàlla ci lu àndul ak genn tiit.
