1:1	Lii mooy li Yeesu Kirist feeñal, te mu tukkee ca Yàlla, ngir mu won ay jaamam mbir, yi dëgmël di ñëw. Yónni na malaakaam, ngir xamal ko ab jaamam Yowaana.
1:2	Kooku mi ngi seede fii li mu gis lépp, maanaam kàddug Yàlla ak seede, si ñu seedeel Yeesu Kirist.
1:3	Barkeel ngeen, yaw miy jàng ak yéen ñiy déglu wax yii jóge ca Yàlla, te di sàmm li ñu ci bind, ndaxte waxtu wi jege na.
1:4	Man Yowaana maa leen di bind, yéen juróom-ñaari mboolooy ñi gëm te nekk ci diiwaanu Asi. Na yiw ak jàmm féete ci yéen, jóge ci Yàlla, moom ki nekk, ki nekkoon démb te di ñëw ëllëg. Yiw woowu ak jàmm jooju ñoo ngi tukkee it ci juróom-ñaari Xeli Yàlla, yi nekk ci kanamu gàngunem Yàlla,
1:5	tukkee it ci Yeesu Kirist, seede bu takku bi, moom taaw bi, maanaam ki jëkk a dekki, di buuru buur yi ci kaw suuf yépp. Na ndam ak nguur féete ak Yeesu Kirist ba fàww, moom mi nu bëgg te yiwi nu ci sunuy bàkkaar ak deretam ji tuuru, te def nu askanu saraxalekati Buur Yàlla Baayam, nu di ko jaamu. Amiin.
1:7	Gisleen, mi ngi ñëw ci niir yi,te ñépp dinañu teg seeni bët ci moom,ba ci ñi ko jam sax.Te xeet yi nekk ci kaw suuf yéppdinañu jooy ndax moom.Waaw. Amiin.
1:8	Boroom bi Yàlla nee na: «Man Yàlla maay Alfa ak Omega, maay ki nekk, ki nekkoon démb te di ñëw ëllëg, man Aji Kàttan ji.»
1:9	Man Yowaana seen mbokk, di seen nawle ci fitna, ci nguur ak ci muñ, yi nu am ndax sunu booloo ak Yeesu, maa nga nekkoon ca dun bu ñuy wax Patmos. Wacce woon nañu ma fa, ndax li ma doon waare kàddug Yàlla tey seedeel Yeesu.
1:10	Xelum Yàlla solu ma ci bésu Boroom bi, te noonu ma dégg ci sama gannaaw baat bu xumb nig liit,
1:11	naan: «Bindal ci téere li ngay gis te yónnee ko juróom-ñaari mboolooy ñi gëm, ca dëkki Efes, Samirin, Pergam, Catir, Sàrd, Filadelfi ak Lawdise.»
1:12	Noonu ma geestu, ngir seet ku doon wax ak man. Ba ma geestoo, yem ci juróom-ñaari làmpi diwlin yu wurus,
1:13	gis ku taxaw ci biir làmp ya, niroo ak doomu nit. Mu sol mbubb mu gudd, takk ngeñaayu wurus ci ndiggam.
1:14	Boppam ak kawaram weex tàll ni perkaal, ay bëtam di xuyy ni safara.
1:15	Ay tànkam mel ni xànjar bu yànj bu ñu xelli, baatam di riir ni duusi géej.
1:16	Mu yor ci loxol ndeyjooram juróom-ñaari biddiiw, jaasiy ñaari boor yu ñaw di génn ci gémmiñam, xar-kanamam leer nàññ ni jantub njolloor.
1:17	Naka laa ko gis, di daanu ci ay tànkam ni ku dee. Waaye mu teg loxol ndeyjooram ci sama kaw ne ma: «Bul ragal dara. Maay ki jëkk te maay mujj.
1:18	Maay Kiy Dund. Dee woon naa, waaye maa ngii di dund ba fàww, yor caabiy dee ak ju barsàq.
1:19	Kon nag bindal li nga gis, li am léegi ak li nar a ami gannaaw gi.
1:20	Juróom-ñaari biddiiw yi nga gis ci sama loxol ndeyjoor, ak juróom-ñaari làmpi diwlin yu wurus yi, ay mbóoti Yàlla lañu te lii lañuy tekki: biddiiw yi ñoo di malaakay juróom-ñaari mboolooy ñi gëm; juróom-ñaari làmp yi ñoo di juróom-ñaari mbooloo yi.
2:1	«Bindal malaakam mbooloom ñi gëm ci dëkku Efes, ne ko: i Ki téye juróom-ñaari biddiiw yi ci loxol ndeyjooram, tey dox ci diggu juróom-ñaari làmpi diwlin yu wurus yi nee na:
2:2	Xam naa say jëf, sa liggéey ak sag muñ. Xam naa ne, mënuloo dékku ñiy def lu bon. Seetlu nga ñi tuddoo samay ndaw, ba gis ne ay naaféq lañu.
2:3	Xam naa it ne muñ nga, ba dékku coono ndax sama tur, te xàddiwoo. i
2:4	Waaye li ma naqari ci yaw moo di sa mbëggeel wàññiku na.
2:5	Deel fàttaliku kon fa nga daanoo. Réccul te def, na nga daan def bu jëkk. Soo réccuwul, dinaa dikk ci yaw, jële sa làmp ca bérab ba mu nekk.
2:6	Waaye lii neex na ma ci yaw: sib nga ni man li ñoom Nikolas di jëf. i
2:7	Yaw mi am ay nopp, déglul li Xelum Yàlla di wax mboolooy ñi gëm. Ku daan, dinaa la may, nga lekk ci garabu dund, gi nekk ci jataayu Yàlla.
2:8	«Bindal malaakam mbooloom ñi gëm ci dëkku Samirin, ne ko: i Ki jëkk te mujj, ki dee woon te dekki nee na:
2:9	Xam naa sa coono, xam it sa néew doole, moona yaaka duunle. Ñooñu tuddoo Yawut, xam naa ñaawteef yi ñu teg ci sa der: ndajem Seytaane la.
2:10	Bul ragal li nga nar a daj. Seytaane dina dugal kaso ñenn ci yéen, ngir wut leen a fiir. Diirub fukki fan dingeen am coono. Nanga takku ba àttan cee dee, ma jox la kaalag dund gi. i
2:11	Yaw mi am ay nopp, déglul li Xelum Yàlla di wax mboolooy ñi gëm. Ku daan, doo loru ci ñaareelu dee.
2:12	«Bindal malaakam mbooloom ñi gëm ci dëkku Pergam, ne ko: i Boroom jaasi ju ñaw, ji am ñaari boor nee na:
2:13	Xam naa fa nga dëkk, di fa Seytaane samp nguuram. Moona jébbalu nga ci sama tur te weddiwoo sa ngëm ci man, ba ca fan ya ñu reye Antipas, sama seede bu takku ba, ci seen dëkk, di dëkku Seytaane. i
2:14	Waaye am na lu ma naqari ci yaw, moo di uuf nga foofu gaa yuy sàmm njàngalem Balaam, moom mi jàngaloon Balag, mu sóob bànni Israyil ci bàkkaar, xiir leen ci lekk ñam wu ñu tuuroo xërëm yi, xiir leen ci njaaloo.
2:15	Te am nga noonu itam ay nit ñuy sàmm njàngalem ñoom Nikolas.
2:16	Réccul kon; lu ko moy dinaa dikk ci yaw léegi te xeex ak nit ñooñu ak jaasi, jiy génn ci sama gémmiñ. i
2:17	Yaw mi am ay nopp, déglul li Xelum Yàlla di wax mboolooy ñi gëm. Ku daan, dinaa la jox, nga lekk dund bi ñuy wax mànn te mu nëbbu, te dinaa la jox xeer wu weex. Ci kaw xeer woowu bindees na ci tur wu bees wu kenn xamul, ku dul ki ko jot.
2:18	«Bindal malaakam mbooloom ñi gëm ci dëkku Catir, ne ko: i Doomu Yàlla ji, ki ay bëtam di xuyy ni safara, tey tànkam di lerax ni xànjar, nee na:
2:19	Xam naa say jëf, sa mbëggeel, sa ngëm, sag muñ ak ni nga farloo ci sa jaamu Yàlla. Xam naa say jëf yu mujj, ni ñu ëppe yu jëkk ya. i
2:20	Waaye li ma naqari ci yaw moo di dangaa bàyyi Yesabel, jigéen joojuy tuddoo yonent, di jàngale ak a réeral sama jaam yi, ngir ñuy sóobu ci njaaloo te di lekk ñam wu ñu tuuroo xërëm yi.
2:21	May naa ko ab diir, ngir mu tuub njaaloom, waaye bañ na.
2:22	Kon nag dinaa ko tëral ci lalu metit, te ñiy ànd ak moom di njaaloo, su ñu tuubul jëfi jigéen jooju, dinaa leen teg naqar wu mag.
2:23	Dinaa rey ay doomam, te mboolooy ñi gëm yépp dinañu xam ne, man maa di kiy nattu xol ak xalaat, te dinaa fey ku nekk ay jëfam.
2:24	Waaye yéen ñépp ñi des ci Catir te toppuleen njàngale moomu te gëstuwuleen loolu ñu naan mbiri Seytaane yu xóot yi, maa ngi leen di wax ne, duma leen yen beneen yen
2:25	bu dul bii: jàppleen ci li ngeen jàpp, ba kera may ñëw. i
2:26	Ku daan tey sax ci samay jëf ba ca muj ga, dinaa ko jox sañ-sañ ci xeet yi:i
2:27	Dina leen jiite ak yetu weñ,i tojat leen ni ñuy toje ndaal kew —i
2:28	ni ma jële sañ-sañ ci sama Baay. Dinaa ko jox it biddiiwu njël.
2:29	Yaw mi am ay nopp, déglul li Xelum Yàlla di wax mboolooy ñi gëm.
3:1	«Bindal malaakam mbooloom ñi gëm ci dëkku Sàrd, ne ko: i Ki yor juróom-ñaari Xeli Yàlla yi ak juróom-ñaari biddiiw yi nee na: Xam naa say jëf. Dañu laa teg kuy dund, fekk dee nga.
3:2	Yeewul te dëgëral li des ci yaw tey waaj a dee, ndaxte gis naa ne, say jëf matuñu ca sama kanam Yàlla.
3:3	Fàttalikul kon kàddug Yàlla gi nga jot, te dégg ko, sàmm ko te réccu. Soo wéyee ciy nelaw nag, dinaa ñëw nib sàcc, te doo xam wan waxtu lay doon. i
3:4	Moona am nga foofu ci Sàrd nit ñu néew ñoo xam ne tilimaluñu seen mbubb. Ñooñu dinañu ànd ak man, sol lu weex, ndaxte yeyoo nañu ko.
3:5	Ku daan, dinga sol mbubb mu weex ni ñoom. Te duma far sa tur ci téereb dund bi, waaye dinaa nangu ci sama kanamu Baay ak ay malaakaam ne, bokk nga ci man.
3:6	Yaw mi am ay nopp, déglul li Xelum Yàlla di wax mboolooy ñi gëm.
3:7	«Bindal malaakam mbooloom ñi gëm ci dëkku Filadelfi, ne ko: i Aji Sell ji, di Aji Dëgg ji nee na, moom mi yor caabiy Daawuda ji, moom miy tijji te kenn du ko man a tëj, muy tëj te kenn du ko tijji nee ne:
3:8	Xam naa say jëf. Ubbil naa la bunt, te kenn du ko man a tëj. Xam naa ne barewuloo doole, waaye sàmm nga sama kàddu te weddiwoo ma.
3:9	Dinaa def ba ñenn ci ñi bokk ci ndajem Seytaane --te tuddoo Yawut, fekk dañuy fen — dinaa leen ñëwloo, ñu sukk ci sa kanam, nangu ne, bëgg naa la.
3:10	Gannaaw muñ nga, ni ma la ko dénke woon, man itam dinaa la yiir ci jamono, ji musiba mi di wàcc ci dunyaa bépp ngir nattu waa àddina. i
3:11	Léegi ma ñëw. Sàmmal li nga yor, ngir kenn bañ laa xañ sa kaalag ndam.
3:12	Ku daan, dinaa la samp ni aw jënu néeg ci sama kër Yàlla te doo fa génn mukk. Dinaa bind ci yaw turu sama Yàlla ak turu dëkku sama Yàlla, mu di Yerusalem gu bees, giy jóge ca asamaan ca wetu sama Yàlla di wàcc. Dinaa bind it ci yaw sama tur wu bees.
3:13	Yaw mi am ay nopp, déglul li Xelum Yàlla di wax mboolooy ñi gëm.
3:14	«Bindal malaakam mbooloom ñi gëm ci dëkku Lawdise, ne ko: i Ki ñuy wax Amiin ji, di seede bu takku bi te dëggu, ki di ndeyi bindu mbindeefi Yàlla yi, nee na;
3:15	Xam naa say jëf, xam ne seddoo, tàngoo. Manoon ngaa sedd mbaa nga tàng,
3:16	waaye ndax li nga nugg, tàngoo seddoo, dinaa la yàbbi.
3:17	Yaa ngi damu naan: “Am naa alal, duunle naa, soxlaatuma dara.” Fekk xamuloo ne, torox nga, miskin, ñàkk, gumba te rafle.
3:18	Moo tax maa ngi lay xiirtal, nga jënd ci man wurus wu ñu xellee ci safara, ngir nga duunle, te nga jënd yére yu weex ngir nga solu, ba sa gàcceg rafle bañ a feeñ, ak tuufaay booy diw ci say bët, ngir man a gis. i
3:19	Man maay yedd, di yar ñépp ñi ma bëgg. Farlul kon te tuub say bàkkaar.
3:20	Maa ngi nii taxaw ci bunt bi, di fëgg. Ku dégg sama baat te ubbi bunt bi, dinaa dugg, reerandoo ak moom, moom it mu reerandoo ak man. i
3:21	Ku daan, dinaa la toogloo ci sama wet ci sama gàngune, ni ma xeexe ba daan, man ci sama bopp, te toogandoo ak sama Baay ci gànguneem.
3:22	Yaw mi am ay nopp, déglul li Xelum Yàlla di wax mboolooy ñi gëm.»
4:1	Gannaaw loolu ma xool, gis bunt ubbiku ci asamaan. Baat booba ma déggoon, muy wax ak man mel nig liit, ne ma: «Yéegal fii, ma won la li war a ñëw gannaaw gi.»
4:2	Ca saa sa Xelum Yàlla solu ma, noonu ma gis gàngune ca asamaan, te am ku ca toog.
4:3	Leeraayam mel ni jamaa ak per bu xonq, te xon gu leer ni per bu wert wër gàngune ma.
4:4	Yeneen ñaar-fukki gàngune ak ñeent wër ko, te ci kaw gàngune ya ñaar-fukki mag ak ñeent toog, sol mbubb yu weex ak kaalay wurus ci seen bopp.
4:5	Ay melax, ay riir ak ay dënnu di jibe ca gàngune ma. Ca kanamu gàngune ma amoon na fa juróom-ñaari làmp yu yànj, di juróom-ñaari Xeli Yàlla yi.
4:6	Amoon na it ca kanamu gàngune ma lu mel ni géej gu leer ni weer bu set, ba mel ni seetu. Ci li wër gàngune ma, sës rëkk, amoon na fa ñeenti mbindeef yu fees ak ay bët ci kanam ak ci gannaaw.
4:7	Mbindeef mu jëkk maa nga meloon ni gaynde, ñaareelu mbindeef mel ni yëkk, ñetteelu mbindeef yor kanamu nit, ñeenteel ba di nirook jaxaay juy naaw.
4:8	Ñeenti mbindeef ya am nañu ku nekk juróom-benni laaf te ñu nga fees ak ay bët li leen wër lépp, ba ci seen roni laaf. Guddi ak bëccëg duñu noppeek naan:«Boroom bi Yàlla, Aji Kàttan ji,moo sell, sell, sell,moom ki nekkoon démb,ki nekk tey, te di ñëw ëllëg.»
4:9	Saa su mbindeef ya di màggal ki toog ca gàngune ma tey dund ba fàww, te di ko kañ ak a gërëm,
4:10	ñaar-fukki mag ña ak ñeent di dëpp seen jë ca kanamu ka toog ca kaw gàngune ma. Ñu di ko jaamu, moom mi dund ba fàww, di sànni seen kaalay ndam ca kanamu gàngune ma, naan:
4:11	«Yàlla sunu Boroom,yaa yeyoo ndam, teraanga ak kàttan,ndaxte yaa sàkk léppte ci sa coobare la lépp nekke,te ci lañu leen sàkke.»
5:1	Noonu ma gis ca loxol ndeyjooru ka toog ca gàngune ma téere bu ñu bind biir ak biti, tay ko juróom-ñaari yoon ak sondeel.
5:2	Noonu ma gis malaaka mu am doole, muy xaacu naan: «Ku yeyoo dindi tayu yi te ubbi téere bi?»
5:3	Te amul kenn, muy ci asamaan, muy ci kaw suuf, muy ci biir suuf, ku manoon a ubbi téere bi, mbaa mu xool ci biir.
5:4	Ma jooy jooy yu metti ndax li kenn yeyoowul woon a ubbi téere bi mbaa mu xool ko.
5:5	Noonu kenn ca mag ña ne ma: «Bul jooy. Xoolal, Gayndeg giiru Yuda, ki soqikoo ci Daawuda, daan na, ba am sañ-sañu dindi tayu yi te ubbi téere bi.»
5:6	Noonu ma gis Mbote mu mel ni dañu koo rendi woon, mu taxaw ca digg gàngune ma, ñeenti mbindeef ya séq ko, mag ña wër ko. Mbote ma amoon na juróom-ñaari béjjén ak juróom-ñaari bët, ñu di juróom-ñaari Xeli Yàlla, yi ñu yónni ci àddina sépp.
5:7	Mbote ma ñëw, jël téere, ba nekkoon ca loxol ndeyjooru ka toog ca gàngune ma.
5:8	Ba mu jëlee téere ba, ñeenti mbindeef ya ak ñaar-fukki mag ña ak ñeent daldi dëpp seen jë ca kanam Mbote ma, ku nekk yor xalam. Ñu yor it andi wurus yu fees ak cuuraay, yu doon misaal ñaani gaayi Yàlla ya.
