1:1	Man Pool, ndawul Yeesu Kirist ci coobareg Yàlla, ngir xamle dund gi nu Yàlla dig te féete ci Kirist Yeesu,
1:2	maa ngi lay bind Timote, sama doomu diine ji ma bëgg. Na la Yàlla Baay bi ak Kirist Yeesu sunu Boroom may yiw, yërmande ak jàmm.
1:3	Fu ma tollu maa ngi lay boole ci samay ñaan, di ci sant Yàlla, mi may jaamu ci xel mu dal, ni ko samay maam daan defe. Guddi ak bëccëg, bu sama xel demee ci say rangooñ,
1:4	ma bëgg laa gis, ba am mbég mu réy.
1:5	Maa ngi fàttaliku sa ngëm gu dëggu, gi nekkoon ci sa maam Lowis ak sa yaay Ënis, te mu wóor ma ne, sax na ci yaw it.
1:6	Looloo tax maa ngi lay fàttali, nga xambaat taal bi Yàlla taal ci yaw, di may gi mu la jagleel, bi ma la tegee samay loxo.
1:7	Ndaxte Xel mi nu Yàlla sol du ànd ak ragal, waaye day ànd ak kàttan, mbëggeel ak moom sa bopp.
1:8	Bul rus ci seedeel sunu Boroom, mbaa ci li ñu ma tëj ndax turam, waaye bokkal ak man tiis ci xamle xebaar bu baax bi, wéeru ci kàttanu Yàlla.
1:9	Moo nu musal te woo nu ci dund gu sell, ci lu ajuwul ci sunuy jëf, waaye ci dogalu boppam ak yiwam, wi nu Yàlla may ci Kirist Yeesu, ba àddina sosoogul.
1:10	Te léegi biral na ko ci feeñug sunu Musalkat Kirist Yeesu, mi nasaxal dee te feeñal dund ci xebaar bu baax bi, te muy dund gu sax.
1:11	Te Yàlla fal na ma ndaw ak jàngalekat, ngir may yégle xebaar bi;
1:12	looloo tax ma jànkoonte ak tiis yu mel nii. Waaye rusuma ci, ndaxte xam naa Ki ma wékk sama yaakaar, te wóor na ma ne, li ma ko dénk, man na koo denc ba bés ba.
1:13	Toppal ci tànki wax yu wér yi nga dégge ci man, jàpp ci ak ngëm ak mbëggeel, yi nu am ci sunu bokk ci Kirist Yeesu.
1:14	Te nga sàmm bu baax li la Yàlla dénk, wéeru ci Xel mu Sell, mi dëkk ci nun.
1:15	Xam nga ne, waa diiwaanu Asi gépp, won nañu ma gannaaw, ñu deme niki Fusel ak Ermosen.
1:16	Waaye Onesifor daa na faral di dëfël sama xol; na Boroom bi sotti yërmandeem ci këram. Rusul woon sax ci samay jéng,
1:17	waaye bi mu ñëwee dëkku Room, wut na ma fu ne, ba gis ma.
1:18	Na ko Boroom bi teeru ak yërmandeem ca bés ba. Umplewoo it coono yi mu daj, ngir dimbali ma ca dëkku Efes.
2:1	Kon nag yaw sama doomu diine, doolewool yiw, wi ci Kirist Yeesu.
2:2	Te wax yi nga dégge ci man fi kanam seede yu bare, nanga leen jottali nit ñu takku, ngir ñoom it ñu man a jàngal ñeneen.
2:3	Bokkal ak man tiis, di jàmbaar ci toolu xareb Kirist Yeesu,
2:4	xam ne xarekat bu bëgg a neex ka ko solal, du dugg ci yëfi àddina.
2:5	Te it ku tàggat yaramam ngir rawante, duñu ko jagleel kaalag ndam mukk, su toppul sàrt ya.
2:6	Noonu it beykat bi sonn mooy jëkk a ñam toolam.
2:7	Xalaatal bu baax sama wax jii, ndax Boroom bi dina leeral sa xel ci lépp.
2:8	Fàttalikul Yeesu Kirist mi dekki, soqikoo ci Daawuda, tukkee ci xebaar bu baax bi may waare.
2:9	Xebaar booboo tax may jànkoonte ak i tiis, ba ñu jéng ma ni defkatu lu bon; waaye kàddug Yàlla moom, kenn du ko jéng.
2:10	Te lii tax may muñ lépp, ngir ñi Yàlla tànn it am mucc gi ci Kirist Yeesu, gu ànd ak ndam lu sax.
2:11	Kàddu gu wóor a ngii:Su nu deeyaalee ak Kirist,dinanu dundaat ak moom;
2:12	su nu takkoo,dinanu nguuru ak moom.
2:13	Su nu ko weddee,kon mu weddi nu;su nu ko ñàkkee kóllëre,moom dina sax ci kóllëreem,ndax mënul a weddi boppam.
2:14	Saxal ci di leen fàttali mbir yooyu, di leen dénk fa kanam Yàlla, ñu moytoo werante ciy araf, ndax loolu jëmul fu dul ci yàq ngëmu ñiy déglu.
2:15	Góor-góorlul ba teew fa kanam Yàlla, nekk liggéeykat bu mu nangul te rusoo ci dara, di faramfàcce bu jub kàddug dëgg gi.
2:16	Moytul bépp jataayu waxi neen yu àddina kese, ndax ña fa toog dinañu gën a xuus cig weddi,
2:17	te seen kàddu day burux ni ngal. Imene ak Filet, ci ñoom lañu bokk;
2:18	dañoo moy dëgg, di wax ne ndekkite wees na, ba yàq ngëmu ñenn ñi.
2:19	Waaye teewul fondamaa bu dëgër, bi Yàlla tabax, nee na kekk, te lii lañu ci tàmpe: «Boroom bi xam na ñi bokk ci moom,» te it: «Ki tudd turu Boroom bi, na daw lu bon.»
2:20	Ci kër gu mag nag, du ndabi wurus walla xaalis rekk a fa am, waaye itam yoy dénk walla ban; yii tedd nañu, yee ñàkk solo.
2:21	Kon nag ku laabal sa bopp ci yooyu yépp, dinga nekk ndab lu tedd te sell, nga am njariñ ci Boroom bi te jekk ci bépp jëf ju rafet.
2:22	Dawal bépp bëgg-bëggu ngune, te sóobu ci njub, ngëm, mbëggeel, jàmm, ànd ak ñépp ñiy tudd turu Boroom bi ak xol bu sell.
2:23	Tanqamlul bépp weranteb neen bu amul njariñ, xam ne xuloo rekk lay jur.
2:24	Te jaamu Boroom bi warul a xuloo, waaye na lewet ci ñépp, jekk ngir jàngale tey muñ fitnay noon.
2:25	Na jubbanti cig suufe ñi koy diiŋat, tey yéene Yàlla xiir leen ci réccu, ba ñu xam dëgg;
2:26	ñu rëcc ci fiirug Seytaane, mi leen jàpp niy jaam, te ñu dellusi ci seen xel yu rafet, ba sóobuwaat ci coobareg Yàlla.
3:1	Nanga xam lii: bési tiis yu tar ñu ngi nuy tëru ci muju jamono.
3:2	Ndaxte nit ñi dinañu siis te fonk xaalis, di ñu réy tey yég seen bopp, ñuy xaste tey xëtt ndigalu waajur; duñu am kóllëre, sellaay
3:3	mbaa cofeel; dañuy jàpp mer ak a sos; ñu xér lañuy doon, ñu soxor te bañ lu baax;
3:4	ay workat lañuy doon, di ñu ëppal te bare tiitar; seen bànneex a leen gënal Yàlla.
3:5	Dañuy mbubboo diine waaye nanguwuñu koo dugal seen xol. Ñu deme noonu, dëddu leen.
3:6	Nit ñu mel noonu ñooy yoxoosu ci biir kër yi, ba fàbbi jigéen ñu ñàkk pasteef, ñi seeni bàkkaar ub seen bopp, te bëgg-bëgg yu wuute jiital leen.
3:7	Duñu noppee gëstu, waaye duñu man a yegg ci xam-xamu dëgg mukk.
3:8	Nit ñooñu dañuy bëreek dëgg, ni Sànnes ak Sàmbares bëree woon ak Musaa; ay boroom xel yu gumba lañu, yu seen ngëm tekkiwul dara.
3:9	Waaye duñu dem fu sore, ndax seen ñàkk xel dina bir ñépp, ni mu dale woon Sànnes ak Sàmbares.
3:10	Waaye yaw nag xam nga bu baax sama njàngale, sama dund, sama takkute, sama ngëm, sama muñ, sama mbëggeel ak sama dékku tiis.
3:11	Xam nga li ma daj ciy fitna ak i coono ci dëkki Ancos, Ikoñum ak Listar. Céy li ma jànkoonteel ciy fitna! Waaye Boroom bi musal na ma ci lépp.
3:12	Te ku bokk ci Kirist Yeesu, te bëgg dund dund gu ànd ak ragal Yàlla, alamikk ñu fitnaal la.
3:13	Waaye nit ñu bon ñi ak naaféq yi dinañu fi yées, di naxe ak a nax seen bopp.
3:14	Yaw nag saxal ci li nga jàng te mu wóor la, xam fi nga tibbe.
3:15	Li dale ci sa ngune xam nga Mbind mu sell, mi la man a yee ci yoonu mucc, jaar ci gëm Kirist Yeesu.
3:16	Mbind mu sell mépp, ci gémmiñu Yàlla la jóge, te am na njariñ ngir jàngal nit ñi, yedd leen, jubbanti leen te yee leen ci njub.
3:17	Noonu waayu Yàlla ji dina mat, ba jekk ci bépp jëf ju rafet.
4:1	Kon nag maa ngi lay dénk fa kanam Yàlla ak Kirist Yeesu, miy àtte ñiy dund ak ñi dee, di la dénk ci feeñam ci biir ndam ak ci nguuram, nga def lii:
4:2	xamleel kàddug Yàlla, sax ci, su neexee ak su naqaree; yeyal ñi tooñ, di yedd ak a dénk ñépp, def ko ci muñ gu yaatu ak njàngale mu mat.
4:3	Ndaxte jamono dina ñëw, joo xam ne nit ñi dootuñu xajoo njàngale mu wér mi, waaye dinañu jublu ci seeni bëgg-bëgg, di fortaatu jàngalekat yu leen di jey.
4:4	Dinañu tanqamlu dëgg, jeng jëm ci léebi diiney neen.
4:5	Waaye yaw nanga foog ci lépp, dékku tiis, tey tas xebaar bu baax bi, ba matal sag yónnent.
4:6	Ndaxte maa ngi ci tànki joxe sama bakkan ni sarax, te sama waxtuw dem jot na.
4:7	Bëre naa ba ub làmbi ngëm, daw naa ba àkk, sàmm naa mboolem dëgg, gi ñu ma dénk.
4:8	Fi mu ne Yàllaa ngi may xaare añu ku jub, di kaalag ndam gi ma Boroom, biy Àttekat bu jub, di jox ca bés ba, te jéllale naa sama bopp, waaye képp ku def sa xol cig feeñam.
4:9	Defal sa kem-kàttan, ba fekksi ma ci ni mu gën a gaawe.
4:10	Ndaxte Demas topp na àddina, ba bàyyi ma, dem dëkku Tesalonig; Kereseñsë dem na diiwaanu Galasi, Tit dem diiwaanu Dalmasi.
4:11	Luug rekk a des fi man. Indaaleel Màrk, ndaxte amal na ma njariñ ci liggéey bi.
4:12	Tisig moom yebal naa ko dëkku Efes.
4:13	Te sooy ñëw, indaaleel mbubb, ma ma dénkoon Karpus ca dëkku Torowas, te it bul fàtte téere yi, rawatina téere yu am maana, yi ñu bind ci der.
4:14	Alegsàndar tëgg bi def na ma ñaawteef yu ne, waaye Boroom bi dina ko fey ay jëfam.
4:15	Moytu ko bu baax, ndaxte bëre na ak sunuy wax ba tàyyi.
4:16	Keroog bi ma jëkkee taxaw, di làyyil sama bopp, awma woon kenn ku ma taxawu, ñépp dañu maa daw — bu leen ko Yàlla jàppe nag.
4:17	Waaye Boroom bi moo ma taxawu te dooleel ma, ma jollil kàddu gi, ba xeet yépp dégg ko. Te Boroom bi musal na ma ci selli gaynde.
4:18	Rax-ca-dolli dina ma musal ci bépp jëf ju ñaaw, tette ma ci jàmm, ba tàbbal ma ci nguuram gu kawe ga. Na yelloo ndam ba fàww. Amiin.
4:19	Nuyul ma Piriska ak Akilas ak waa kër Onesifor.
4:20	Erast des na dëkku Korent. Torofim dafa woppoon, ma bàyyi ko dëkku Mile.
4:21	Gaawal a ñëw, bala lolli di gàllankoor sa yoon. Ëbulus, Pudeñsë, Linus, Këlójaa ak yeneen bokk yépp ñu ngi lay nuyu.
4:22	Na Boroom bi aar sa xel. Na yiwu Yàlla ànd ak yéen ñépp.
